	954.0
mnanggg	2.0
tuti	3.0
crooooot	1.0
bersikap	41.0
diazab	3.0
123456789	1.0
tutp	2.0
uweeekk	2.0
good	78.0
goof	1.0
gong	4.0
goni	2.0
membabi	17.0
gono	1.0
membabe	1.0
pelacuran	2.0
empuk	10.0
bersikaf	2.0
redaksi	2.0
wnita	1.0
diangkat	27.0
lukaku	1.0
gona	1.0
jujor	1.0
pigi	1.0
penindasan	5.0
turu	4.0
memback	2.0
pnjahat	1.0
ragukan	7.0
sidangin	1.0
diborong	3.0
tebunya	1.0
membaca	24.0
dikeduaan	1.0
freddy	1.0
erwindo	1.0
gabisnya	1.0
ngaku2	70.0
masyarakatnya	13.0
hancurkam	1.0
hancurkan	69.0
gopi	1.0
maskunbagus	1.0
wassalamualaikum	1.0
tuuu	6.0
diinjek2	4.0
dpp_fpi	1.0
tuuh	10.0
ngaktu	1.0
lukain	1.0
sbodoh	1.0
mentafsirnya	1.0
cccc	1.0
ingkari	2.0
mengagungkan	6.0
nampakkan	1.0
gool	1.0
haaahaaa	3.0
ngakui	8.0
cancer	1.0
kudis	6.0
kamuvudah	1.0
pilh	10.0
dnegri	1.0
berbelit2	1.0
pili	9.0
asalbukanahok	1.0
terrentu	1.0
pilo	1.0
ngako2	1.0
percaya	521.0
fredom	2.0
pencinta	6.0
percaye	1.0
rosulnya	4.0
cipta	3.0
orsing	1.0
pikr	1.0
goro	2.0
kudjs	2.0
dijkt	2.0
hilang	93.0
hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha	1.0
percays	1.0
pertanyaan	85.0
pelaggran	1.0
tuwh	1.0
bilangbtidak	1.0
phobia	1.0
wkwkwkwwkwkkwk	1.0
klapas	1.0
disiapin	1.0
pxyang	1.0
ralyat	1.0
preeeeee	1.0
pink	1.0
mahasis	1.0
ping	7.0
manghormati	1.0
nerakalah	1.0
jujur	568.0
yahuda	1.0
jujut	2.0
preeeeet	15.0
terbuangnya	1.0
syndrome	7.0
yahudi	108.0
tinghal	2.0
penyembah2nya	1.0
minorotas	1.0
hariamau	1.0
empok	3.0
ciloko	1.0
pimp	1.0
yahudy	1.0
biadap	13.0
pemimmpin	2.0
dipropagandakan	1.0
bdohnya	1.0
dijln	1.0
rasakan	23.0
pilu	1.0
ckckckk	5.0
dihiraukan	2.0
biadab	112.0
nyossss	1.0
ikhbanul	1.0
mainset	1.0
kekuranganmu	1.0
pipi	3.0
perkataanya	1.0
menghayal	19.0
pipo	1.0
powermu	1.0
anjli	1.0
keluarkelah	1.0
nabrak	13.0
tofiek	1.0
ditemuin	3.0
pipa	1.0
bentak2	8.0
tetiak2	1.0
ditemuka	1.0
pion	3.0
mnduduki	1.0
pasangn	1.0
rosullullah	1.0
geruduk	14.0
trgolong	1.0
piro	12.0
hahahihi	1.0
nyokap	3.0
astagfirlh	1.0
gerudug	2.0
nysmbung	1.0
selayaknnya	1.0
monyon	1.0
pira	1.0
anjng	4.0
tenang2	11.0
gabisa	4.0
prhtkn	2.0
bruengseeeekkkk	1.0
gambreng	1.0
ngadakan	3.0
statmen	4.0
nyesekin	1.0
mengkafir	1.0
walkot	1.0
kuwalat	2.0
mengkerut	4.0
mendambakan	4.0
sepertganya	1.0
wkwkwkwwkwkwk	2.0
berasap	1.0
potensinya	2.0
berjogetlah	1.0
ngurur2	1.0
pits	1.0
membawa	11.0
segedhe	1.0
ooooow	1.0
pita	14.0
mengetahi	1.0
ccok	1.0
frekuensi	1.0
snantiasa	1.0
ngisi	2.0
oooooo	6.0
dobonsolo	1.0
berasal	18.0
diken	1.0
kudegar	1.0
percara	1.0
oooooh	1.0
tsila	2.0
minusnya	1.0
piss	5.0
uwong	1.0
dihamparan	1.0
kapolrinya	5.0
pisa	1.0
mengalami	12.0
dicapur	1.0
trlmbat	1.0
ngiri	13.0
ngalir	1.0
brqpa	1.0
mmbabi	2.0
capress	2.0
ngalih	2.0
menghazap	1.0
segeralah	7.0
kapanyenyan	1.0
mmbaca	1.0
meyusun	1.0
mssalah	1.0
melelahkan	1.0
pemutih	3.0
diki2	1.0
melongo	3.0
percata	1.0
kerennnnb	1.0
emuuuuaaach	1.0
okowi	1.0
trennya	1.0
dibawah	14.0
temperamen	1.0
kesejah	1.0
nyunati	1.0
dipermslhkan	1.0
patahin	1.0
bersekutu	9.0
dikao	1.0
anket	1.0
rahmad	1.0
dikau	7.0
tauladanmu	1.0
membara	3.0
dimasalahin	1.0
kembalinya	1.0
rabbolallamiin	1.0
luuuccuuuuuuuuu	1.0
soleman	1.0
ilegak	1.0
percapakan	1.0
cwitan	1.0
beken	6.0
khabarnyo	2.0
brintak	1.0
martupol	1.0
rahman	7.0
bakhtiar	3.0
rahmat	23.0
ilegar	1.0
ilegal	55.0
mellow	1.0
kuasaai	1.0
cctv	11.0
ndengar	1.0
pertyaan	1.0
utarakan	1.0
seakan	27.0
unutk	1.0
tauuu	13.0
oooomm	1.0
koordinatornya	1.0
pambudi	2.0
membatu	1.0
kuasaan	2.0
kegirangan	5.0
kumpret	1.0
ngurusi	11.0
ckpnya	1.0
dilakuan	1.0
piye	37.0
goblokmuuuu	1.0
mamfud	2.0
sipilnya	1.0
polantas2	1.0
ditunjukin	3.0
besan2x	2.0
bersertifikat	1.0
lebaaaayyyyyy	1.0
membaur	1.0
berpendidika	1.0
hampir2	1.0
komplotannya	3.0
tertebus	1.0
terkentut	1.0
kecebong2	3.0
bekam	1.0
bekap	1.0
huhuuuuuuu	1.0
cameron	1.0
slamatkan	1.0
bekal	9.0
gskseneng	1.0
mghujat	3.0
bekas	45.0
berpakaian	5.0
nyenaknsiapa	1.0
seeeppp	1.0
habiburrohman	2.0
istighfar	18.0
nyungsep	20.0
heboooh	1.0
ngalah	11.0
sendirinya	16.0
nyungseb	1.0
bunyamin	1.0
sekalpun	1.0
percaka	1.0
prrsiden	3.0
pemutar	2.0
berkeyakinan	3.0
edwin	2.0
ujisn	1.0
taruhan	5.0
waduhhhh	8.0
trutama	4.0
ditunjukan	2.0
kundang2	1.0
kudisan	3.0
ngjak	1.0
kberkahan	1.0
bakarrr	2.0
maqruf	1.0
haramm	1.0
penunggangan	2.0
jagoannya	16.0
jdikan	3.0
memuluskan	6.0
sulaeman	1.0
dijwb	1.0
debuan	1.0
kemuliaannya	2.0
memanjakan	1.0
ktknnya	1.0
melonjk	1.0
yeeeess	1.0
makaaar	2.0
numpumang	1.0
ahoooaax	1.0
ningsih	2.0
menyerangnya	1.0
allohuakbar	13.0
giring	9.0
muigak	1.0
membukakan	6.0
tetkontrol	1.0
permusuan	1.0
colaborator	1.0
hadeeehhh	2.0
kaliiiiieee	1.0
dilakuin	2.0
ceileee	1.0
kometar	1.0
kolonial	3.0
ngeyek	1.0
ngeyel	14.0
diiri	2.0
haraam	2.0
penyebab	10.0
krugian	1.0
kacunk	1.0
penghuni	37.0
kacung	41.0
dicarix	1.0
mempertebal	1.0
dijual	6.0
sampulin	1.0
kucay	1.0
juara2	1.0
siijoko	1.0
penghulu	1.0
babiuiiu	1.0
ngiba	1.0
beruntunglh	1.0
kuasamu	1.0
murah2	1.0
majahid	1.0
ydah	1.0
lengob	2.0
diobok	5.0
huuuu	3.0
memohon	10.0
didalam	30.0
i_one	1.0
diisi	8.0
huuuf	1.0
huuuh	2.0
marutim	1.0
crita	4.0
mngkafir	1.0
kedepannya	13.0
ilusi	4.0
memerintahkan	5.0
jelasssssss	1.0
petapa	1.0
kepolitik	3.0
konteknya	1.0
afghanistan	1.0
lollolol	1.0
mellek	1.0
mellel	1.0
indentik	1.0
radadi	1.0
alhamdulillaaahh	1.0
hantuuuuuuu	1.0
brovo	1.0
hollywood	2.0
ngigo	1.0
kasiaaaan	5.0
hancurlah	9.0
ciout	1.0
saranin	2.0
yamaha	1.0
dukunganmu	1.0
brouw	1.0
emosi	100.0
anisa	4.0
seasons	1.0
broww	2.0
ntong	2.0
finally	1.0
sbtlnya	2.0
aniss	1.0
petani	14.0
tshun	1.0
petang	1.0
trjang	1.0
seniornya	2.0
balakang	1.0
anggotax	1.0
pastiiiii	1.0
instrospeksi	2.0
penuntut	3.0
menegakan	8.0
yamaja	1.0
beratmu	1.0
mendirikan	7.0
mnghayal	1.0
prktaan	1.0
jembuuut	1.0
melonte	1.0
dicari2	5.0
beita	3.0
pnglihatanmu	1.0
penuntun	2.0
diceritakan	2.0
mulaifikun	1.0
ragulah	1.0
matematika	5.0
ujian	31.0
mghukum	1.0
pjng	1.0
ngalor	4.0
berburuk	14.0
cecep	2.0
konpirasi	2.0
selesaaaiii	2.0
balance	2.0
huehue	1.0
khonthol	1.0
nyolek	2.0
emooh	1.0
selutuh	1.0
poligami	24.0
being	2.0
menjual	6.0
ulilll	1.0
berperan	10.0
bermslah	1.0
hhoio	1.0
membesar	4.0
pnggunanya	1.0
joget2	3.0
ooooooookkk	1.0
syawat	1.0
dzholim	3.0
buzernya	1.0
fahrix	1.0
tuhhhhh	1.0
peminpin	13.0
diadilin	1.0
klise	5.0
sjuta	1.0
ngilo	4.0
mmperjuangkan	1.0
klaparan	1.0
fahrii	2.0
keaslian	3.0
bernardo	1.0
mekanisme	4.0
kliry	1.0
ddkung	1.0
kliru	9.0
gadilan	1.0
beriklan	3.0
bersinergi	1.0
se77777	2.0
kesampah	1.0
cecak	1.0
bombon	1.0
dibirokrasi	3.0
istyqal	1.0
streeessss	1.0
cecar	2.0
huukk	1.0
penlsta	1.0
menyikapinya	4.0
brook	2.0
ahokerssss	1.0
brooo	57.0
kelopak	1.0
lewati	1.0
dalil2	3.0
fotocopy	1.0
ngeblangsak	1.0
memanipulasi	1.0
transkrip	15.0
achirnya	2.0
diidk	1.0
kolamny	1.0
ngina	2.0
bunuhhh	1.0
twas	1.0
kuasain	3.0
shirik	1.0
wabup	1.0
takebal	1.0
setingkat	2.0
tampol	4.0
senyum2	2.0
bakpao	2.0
nguruzi	1.0
lieeeer	1.0
broow	4.0
broot	1.0
tauny	1.0
angkatan	4.0
prihatinnya	2.0
ciong	1.0
bruuuddddd	1.0
beratur	1.0
berpkirlah	1.0
elektabilitabilis	1.0
pofokator	1.0
ngipi	3.0
pembinaan	1.0
anime	1.0
kubor	2.0
sepantasx	1.0
manusianya	20.0
kaloyg	1.0
tampel	3.0
plengo	1.0
ketoro	16.0
menggoncang	1.0
zihab	1.0
tatut	1.0
tendensinya	1.0
pemusic	1.0
brpkr	1.0
jorokmesum	1.0
asyeeek	2.0
preeeeeettttttt	1.0
mayonais	1.0
kegini	1.0
pjanic	1.0
tipis2	1.0
sobek	10.0
perkataanmu	1.0
waspodo	1.0
kekersan	4.0
dihormati	41.0
prihatinnnn	3.0
didahului	1.0
anjig	5.0
keterguncangan	1.0
ppprrettt	1.0
ntnya	1.0
empiy	1.0
mengormarti	1.0
tolelot	1.0
sabarlah	5.0
wabah	2.0
anjin	1.0
dqmoal	1.0
anjir	3.0
rohis	1.0
jdilah	9.0
rohim	1.0
debuuu	1.0
beratan	1.0
oknum	115.0
ha8i8	4.0
kubro	2.0
untuk	1280.0
disepakati	2.0
untul	1.0
ataukah	7.0
dijusl	1.0
maminya	1.0
ngooooook	1.0
tampar	4.0
untut	1.0
tampat	1.0
ngamen	2.0
situmikir	1.0
kolonimu	1.0
tampil	23.0
lengan	2.0
lengah	8.0
oengerahan	1.0
jutaannnnn	1.0
sipenyadap	1.0
membagun	2.0
4detik	1.0
niyeeeee	1.0
imingi	4.0
alaaahh	1.0
njelekin	1.0
bnernya	1.0
mulyono	5.0
duluar	1.0
menonjol	2.0
menonjok	2.0
kubus	2.0
duluan	84.0
kubur	29.0
cipit	5.0
amoled	1.0
menuding	10.0
dijag	1.0
diangkut	4.0
mumpong	1.0
memantau	2.0
iming2	10.0
makenye	1.0
memasang	2.0
tatto	1.0
dihormari	1.0
bentar2	5.0
angkotnya	1.0
rasakno	2.0
ternodai	1.0
generasi2	1.0
melesettt	1.0
zzzzz	2.0
aparat	151.0
menyeganimu	1.0
fijadikan	1.0
ngamat	2.0
ngamau	1.0
digantang	2.0
dimusyawarahkan	1.0
ngamar	2.0
pecatan	5.0
lgukn	1.0
jihadnya	1.0
tertawaan	1.0
preeeert	1.0
dinasehatin	1.0
beraqlak	1.0
ampunnnnn	1.0
empal	3.0
biologi	1.0
dtutup	1.0
empat	9.0
muntup2	2.0
tlpnnya	2.0
pemikiran	58.0
mirzanikah	1.0
klian	52.0
tauan	2.0
buasnya	1.0
kliat	2.0
beratii	1.0
hubungan	28.0
hanvurnya	1.0
pkai	6.0
perbuatannya	19.0
cipet	1.0
anjay	3.0
joged2	1.0
preeeett	5.0
edaaan	2.0
dicibubur	1.0
bejat	79.0
siapppp	2.0
transkip	5.0
perutnya	5.0
siluman2	1.0
relasi	3.0
dukunganya	1.0
koar2x2x	1.0
transkif	2.0
bejad	35.0
disono	2.0
tampan	5.0
suanggi	1.0
tampak	12.0
simbulnya	1.0
tampah	1.0
pke2	1.0
sekornya	1.0
eenaak	1.0
akontoolll	1.0
begabunglah	1.0
triluyanan	1.0
mengeblok	1.0
kemayoritasan	1.0
semunyi	1.0
mnuntut	2.0
preeeewt	1.0
hamsah	2.0
klien	2.0
kthuan	5.0
fotonya	16.0
rohut	4.0
ciiieee	2.0
alaaaah	2.0
pkek	11.0
alaaaaa	2.0
butuin	1.0
berkokok	1.0
gejolak2	2.0
antasira	1.0
loyalitas	2.0
statementnya	1.0
rismaaa	2.0
konsekwensinya	1.0
butuhh	1.0
safril	2.0
habitat	6.0
year	4.0
ruhuut	1.0
brsan	2.0
yeah	1.0
nggladrah	2.0
singgung	10.0
syatan	1.0
menggongong	3.0
yeaa	1.0
sennya	2.0
arifuddin	2.0
apaoun	2.0
buktikaan	1.0
braderku	1.0
bucara	1.0
diselamatkan	7.0
korbanny	1.0
cocokkan	1.0
nyoman	5.0
khusunya	1.0
yech	2.0
hardik	7.0
vitanya	1.0
bsuara	1.0
ada2in	1.0
pkir	4.0
mencubit	1.0
wahabi	4.0
pengontrolan	1.0
pkip	2.0
bersih2	2.0
miasalnya	1.0
penghasilan	7.0
mendekatkan	4.0
manusialah	1.0
ekekronik	1.0
ceck	1.0
yeay	1.0
kelebihannya	4.0
meningkatkan	6.0
yees	2.0
membantai	13.0
nyinyirr	1.0
membantah	17.0
asssuuu	2.0
yeek	1.0
transisi	3.0
didengarin	3.0
yeea	1.0
paspamprenya	1.0
yeee	36.0
yayayaya	1.0
nathan	1.0
cuiiiiihhhhh	1.0
khalifa	1.0
abdullah	2.0
smpurna	2.0
ceee	1.0
liberalis	1.0
gangbang	1.0
miklrin	1.0
klihatan	9.0
pengecuuuttt	1.0
mmsuhi	1.0
sumbangsihnya	1.0
menangkap	19.0
mereke2	1.0
menangkal	1.0
menginjak2	2.0
roler	1.0
didengarkn	1.0
pahaammm	1.0
narkobaan	1.0
koridor	5.0
teruuusss	7.0
julur	2.0
episodenya	1.0
ahokkkkk	3.0
emangya	1.0
emangye	1.0
kudaan	3.0
strateginya	6.0
rudini	1.0
bersiap	3.0
yahweh	4.0
gorengan	11.0
merekam	4.0
wkwkkwmmwmwmmwmw	1.0
merekan	1.0
dulusn	1.0
jokoei	1.0
belsa	1.0
postingan	2.0
gangster	1.0
modelanmu	3.0
carmuk	11.0
kedudukanmu	1.0
coblos	166.0
otakny	1.0
lgyan	1.0
emrus	1.0
2xan	1.0
coblod	1.0
laslon	1.0
duluin	2.0
wahaii	2.0
jatohnye	1.0
meuduh	1.0
regestrsi	1.0
pkrn	1.0
kemakmuran	2.0
samosir	1.0
beluk	1.0
memusihi	1.0
cell	2.0
pendekatan	6.0
otakmu	9.0
valid	11.0
ngemenk	1.0
biyar	19.0
takdirnya	1.0
pemilihan	48.0
amgkara	1.0
silaban	2.0
tungguin	2.0
ekspresi	4.0
kerabat	3.0
yaiyalah	2.0
mnghujt	1.0
corbuser	1.0
membasahi	1.0
ngemeng	32.0
pulpen	1.0
belur	10.0
belum	448.0
ngamuk	23.0
cela	7.0
ped3mo	1.0
belut	5.0
spermaku	1.0
masyerakat	1.0
nagara	5.0
waduuuuhhh	1.0
tafsirr	1.0
transkipnya	1.0
tafsiri	1.0
kerennn	3.0
ibaratnye	1.0
pencipta	38.0
katuhin	1.0
brrti	18.0
ibaratnya	2.0
yemi	1.0
belng	1.0
disiarin	1.0
servisanya	1.0
kepanya	1.0
arabvv	1.0
korbanin	3.0
pordeo	2.0
senoga	1.0
belok	4.0
belom	36.0
njegal	1.0
tertuntun	1.0
belot	1.0
masyarkat	1.0
belon	5.0
kesurupan	4.0
indesgala	1.0
manusianyalah	1.0
brhaku	1.0
kufur	6.0
terikut	1.0
ketebak	6.0
cept	1.0
dongoknya	2.0
bangsaaaaattt	1.0
5000mah	1.0
apslagi	1.0
tersembunyi	9.0
rambong	1.0
wahaha	3.0
ruhut2	1.0
ceox	1.0
pkul	1.0
ihlas	2.0
ruzieq	4.0
yeny	7.0
dilapangan	12.0
klihataan	1.0
disiarkn	1.0
nyut2an	1.0
yeni	7.0
ajaas	2.0
giublokkkkk	1.0
konspirasi	38.0
bnget	38.0
effektip	1.0
mooodaaaaar	1.0
nhetop	1.0
baacoott	1.0
kapolresnya	2.0
emaaaaa	3.0
harminto	1.0
kelonin	1.0
gra2	1.0
bngga	2.0
aagim	5.0
kringat	1.0
ngelacak	1.0
lambeeemuu	1.0
ceri	1.0
menduduki	5.0
cere	2.0
lpran	1.0
diiringi	2.0
manajemennya	1.0
dahsyat	6.0
beritahukan	2.0
tafsir2	1.0
besok2	13.0
yaqqin	5.0
berlakukan	3.0
rokok	15.0
yess	26.0
nyolok	4.0
yesi	1.0
nyolot	1.0
samabkyai	1.0
penunggang	1.0
grak	2.0
menjrel	1.0
julak	3.0
gram	1.0
prkosah	1.0
loleng	1.0
julax	1.0
siratu	1.0
wkwkwkwkwkkkkkk	1.0
istighossh	1.0
pikirannye	1.0
dprcya	1.0
palelo	3.0
casandra	1.0
gemeteran	1.0
hamcurkan	2.0
berkaitan	9.0
sungguj	1.0
bngat	1.0
thailand	10.0
mikirrrr	5.0
yahahaha	1.0
ngangu	1.0
palelu	9.0
pikirannya	27.0
cewe	8.0
keleeesss	1.0
prjuangn	1.0
ngadalin	1.0
juanda	1.0
yeti	1.0
tammat	2.0
beranguskan	1.0
dibayar	125.0
sesungguh	3.0
brspa	2.0
hahahahahhahahahahaaaa	1.0
ntral	1.0
tersisih	4.0
munarman	27.0
cuocoook	1.0
naknya	2.0
grem	1.0
sungguh	114.0
apabila	39.0
ajaaa	5.0
karenanya	2.0
gred	1.0
play	11.0
gablek	1.0
plau	2.0
diman	1.0
dimas	5.0
gmfui	1.0
memojokan	11.0
kpentingn	1.0
gancang	1.0
trjadi	12.0
plak	2.0
muludan	1.0
brsih	5.0
plat	12.0
bidannya	22.0
plan	25.0
emangny	2.0
dimah	1.0
kepropam	1.0
munafikkkkkkkkkkk	1.0
tragis	13.0
menggaji	3.0
crmah	1.0
aggung	2.0
ketimur	1.0
grga	1.0
ngannggur	1.0
crmat	1.0
menjungkir	1.0
kpingn	1.0
auratnya	2.0
betullllll	2.0
dimusuhin	5.0
arabia	4.0
terikat	4.0
dibonceng	1.0
weladalahhh	1.0
srcara	2.0
sepiiiiiiiiii	1.0
sebaik2nya	1.0
gris	2.0
aamini	1.0
lncret	1.0
julio	1.0
brsma	3.0
disintang	1.0
publikasikan	5.0
dizaman	2.0
pekabdng	1.0
hahahahahahahhahahahahhahahahhahahahhahahahahahhahahah	1.0
grid	1.0
apanye	3.0
kufar	1.0
sgitux	1.0
apanya	86.0
satelit	2.0
batinq	1.0
grim	2.0
verifikasi	4.0
siihhh	1.0
reaksioner	2.0
nglem	1.0
hidubnya	1.0
paleto	1.0
plen	1.0
jbrong	1.0
ilyas	2.0
zikkk	1.0
plek	1.0
eeehhh	4.0
pler	3.0
yeeer	1.0
jokodong	1.0
licence	1.0
nikhusus	1.0
presenter	1.0
memotong	1.0
menyumpahnya	1.0
mampusssss	1.0
zikir	23.0
bemar	1.0
hargsnya	1.0
dbnyakin	1.0
anjiiiiibg	1.0
bombai	2.0
overprice	1.0
euuuuuuy	1.0
menikahi	14.0
bombay	9.0
revolusiiii	10.0
menggaku	1.0
wuiiihhh	1.0
tertawalah	1.0
lawyer	2.0
yeeee	14.0
kerenan	2.0
bemci	1.0
yeeeh	1.0
penyebar	50.0
manntaappp	1.0
adalahbfajar	1.0
ordebaru	4.0
menggali	11.0
politica	1.0
tskut	1.0
disandang	4.0
babngbng	1.0
ganyang	44.0
ngles	4.0
kebykn	2.0
bnerr	2.0
cocoklah	2.0
ngertinya	1.0
kembali	183.0
ngamatinya	2.0
plis	7.0
plim	1.0
hinakan	5.0
brantakan	2.0
huahaaaa	1.0
plin	21.0
sucinya	8.0
dbanggakan	1.0
wibawa	2.0
ulamaxa	1.0
ucapnya	1.0
plih	13.0
diktp	1.0
penlstaan	1.0
madjid	3.0
semangaat	1.0
tinggalkan	19.0
grop	2.0
dipijaknya	1.0
siiipp	2.0
nabung	1.0
meliatmu	2.0
ketimpa	2.0
waduk	1.0
ininmuncul	1.0
istighosah	7.0
keberlangsungan	1.0
waduh	86.0
prestasi	63.0
bingit	10.0
setujuuuuuuu	5.0
kompleks	6.0
penyedap	1.0
apapun	30.0
galauuuuuu	1.0
berhutang	1.0
fadhil	1.0
plng	24.0
cakeppppp	1.0
boyolali	1.0
roket	3.0
sihirnya	2.0
kayknya	2.0
tingkir	2.0
jongkontol	1.0
diakhirat	23.0
myingkirkan	1.0
anteng2x	1.0
pemalsuan	1.0
dilindungi	47.0
dikpk	1.0
praperadilannya	1.0
politiik	1.0
solusinya	13.0
ngerepotin	1.0
bner2	4.0
dikte	2.0
terimah	1.0
unggulin	1.0
kebuaian	1.0
tawim	2.0
menyembunyikan	4.0
didanai	1.0
jempol	49.0
digital	6.0
ploh	1.0
pacasila	2.0
politika	1.0
diksh	4.0
plok	1.0
dibekalidgn	1.0
tertimpa	2.0
grup	10.0
kedunia	1.0
wadow	1.0
hhhhhhhhhaaaa	1.0
sabarnya	1.0
dikoleksi	1.0
dilapangkan	2.0
ngkok	1.0
nganti	1.0
rokib	1.0
hancurkaaaaaaaaaaaaaaannnnnnnnnn	1.0
bubarkn	8.0
kelonan	11.0
keuangan	9.0
putusin	1.0
ngantu	1.0
bernapas	2.0
delevery	1.0
didengarkan	1.0
pteet	1.0
jokowo	3.0
nyeselin	1.0
tyas	2.0
bersihan	2.0
bingar	1.0
terkotak	2.0
terlarang	5.0
dinegeri	11.0
wakilin	2.0
slmatknlah	1.0
nganut	1.0
dikumpulkan	6.0
brdsarkn	1.0
tahajud	1.0
bekrj	1.0
habeibi	1.0
moeldoko	1.0
bubarin	54.0
njeplak	20.0
ekploitasi	1.0
sembuhkanlah	3.0
leparan	1.0
soeek	1.0
bacapres	1.0
plsu	3.0
bubarka	1.0
khomer	1.0
mempertahankan	14.0
terpendam	1.0
sebenaranya	1.0
politiknya	32.0
plsa	1.0
emqng	1.0
dikit	193.0
ankmu	4.0
ceeep	1.0
tingkat	37.0
etnisnya	1.0
kerennnnn	1.0
agusnya	2.0
pluz	1.0
fasilitasin	1.0
jemput	33.0
tawon	5.0
tingkah	45.0
dikir	1.0
huuuuuu	5.0
provokatooorr	2.0
plus	44.0
diperoses	1.0
dibolehkan	5.0
ulamatu	1.0
dipersembahkan	1.0
dream	1.0
menguliti	1.0
haiiii	5.0
atinya	2.0
pluh	1.0
eksepsi	4.0
atinye	1.0
mengandalkan	5.0
dikky	1.0
kembang	5.0
subhanaallah	4.0
lintasan	1.0
difabikitas	1.0
dimarahin	6.0
dihina2	2.0
melisa	2.0
verrell	1.0
asbabun	2.0
politisi	28.0
sabotase	3.0
amaling	1.0
yaaacchhh	1.0
bekok	1.0
malakukan	1.0
kupingmu	1.0
messuuuuuummmm	1.0
djadikan	3.0
sepertinini	1.0
cairan	3.0
p1turbo	1.0
jokopi	1.0
mecalonkan	1.0
habiebnya	1.0
apalagiiii	1.0
sodik	6.0
memojokkan	16.0
pantese	1.0
giring2	1.0
tegessss	1.0
bella	3.0
kosiklah	1.0
pantess	2.0
dikerjakan	16.0
bantaiiiiii	1.0
allahumma	2.0
belkg	1.0
wadao	1.0
wadau	1.0
mensponsori	1.0
sodiq	1.0
wadah	1.0
kudus	15.0
hemmmmm	2.0
keterbelakangan	1.0
wadeh	1.0
nenghakimin	1.0
500thn	1.0
jokosi	1.0
swolatnya	1.0
allahumna	1.0
faktornya	1.0
tjuancok	1.0
bersihin	7.0
kuropsi	4.0
rekordnya	1.0
ulamak2	1.0
kalungnya	1.0
simuka	1.0
kucurkan	1.0
brrrr	1.0
elaktabilitasnya	1.0
brhasil	4.0
nyampur	1.0
0rang2	3.0
ngoblok	2.0
doonkkk	1.0
usdah	1.0
iuran	1.0
tentukan	15.0
anjinggg	4.0
ngimingi2	1.0
berimplikasi	1.0
hokeerrrr	1.0
kelapangan	5.0
berkotbah	3.0
induknya	1.0
kepercik	1.0
perintahnya	5.0
belgi	1.0
andelin	1.0
semangatt	2.0
diteriaki	2.0
jokowi	964.0
kenyataan	101.0
kepada	183.0
2juta	1.0
paraaaaaah	5.0
apemrintah	1.0
dikeluarin	6.0
belit	1.0
beliu	1.0
ngrasain	2.0
woehhh	1.0
ulamamu	1.0
kualifikasi	2.0
tyme	3.0
hakekatnya	2.0
semangati	1.0
perzinahan	4.0
korbankan	15.0
pasaran	8.0
placur	2.0
type	6.0
meliha	1.0
biyarin	1.0
ciri2	26.0
memuaskan	1.0
firmansyah	13.0
pencemara	1.0
jebloskan	23.0
bbrbuat	1.0
maapkan	2.0
janji2	28.0
dimedsos	7.0
ooooooooo	1.0
hahahahhqhq	1.0
cabe2an	4.0
hadirkan	7.0
pakkkkkk	1.0
kepake	4.0
dilan	2.0
ditunggangin	3.0
lbaran	1.0
kebanyaan	2.0
sulawasi	1.0
kunfayakun	5.0
galaknya	4.0
fauzan	1.0
anjingmu	2.0
power	30.0
pngalihan	1.0
nyuekin	1.0
meremas	2.0
seterusnya	8.0
bersikaplah	4.0
kemanaaaaa	1.0
anjingny	1.0
kepemerintahan	2.0
typo	2.0
jauhari	1.0
dimuluskan	1.0
mampumematahkan	1.0
dress	1.0
sdapan	1.0
koleganya	2.0
bathin	3.0
litbang	1.0
dicatat	2.0
bathil	11.0
penentuan	2.0
siiiih	1.0
kamipun	3.0
nyingung	1.0
siiiip	8.0
bela2	18.0
ngebiarin	1.0
situmah	1.0
kelengkapan	1.0
kehebatannya	1.0
sukhoi	2.0
astgfrlah	1.0
ngkar	1.0
pmja	1.0
unggulan	2.0
konfliki	1.0
meliar	1.0
regret	1.0
ngkel	29.0
meliat	3.0
kebijakan2	5.0
anlah	1.0
departemen	1.0
pencaharian	3.0
diinjak2	2.0
kepala	198.0
provakator	3.0
tawaf	1.0
belah	188.0
belai	1.0
sodok	3.0
sodom	1.0
belas	14.0
bingun	1.0
heheeheeeee	1.0
binattang	1.0
ygau	2.0
rasaiin	3.0
janjii	1.0
kebanyakn	2.0
santaai	1.0
termaksud	2.0
haidar	2.0
suwiryo	1.0
shrnys	1.0
bunuh2in	1.0
istiqfar	13.0
sederet	1.0
udubillah	1.0
menstruasi	2.0
kluarkan	3.0
jaminan	18.0
membentengi	2.0
kallau	1.0
aullohuakbar	1.0
pemmpnnya	1.0
dimanipulasi	8.0
cerobohnya	1.0
tyvu	1.0
babu2	1.0
kebanyaka	1.0
disini	123.0
ditempuh	7.0
disinj	1.0
membenci	49.0
sebarin	3.0
roney	1.0
ngapah	1.0
servisnya	1.0
intelejen	9.0
geraaaaah	1.0
luber	8.0
ygga	1.0
abal2an	1.0
vandy	1.0
mungkinnnnn	1.0
lendir	2.0
junub	1.0
ngapai	5.0
rondo	3.0
laaa	3.0
ronde	9.0
